country,threshold,area
Maldives,40,0.0009731411806588687
Bhutan,40,2.515871700967284
Afghanistan,40,0.1919612607382973
Pakistan,40,0.8896713736046277
Nepal,40,4.905753143097883
Sri Lanka,40,3.81017424858296
India,40,35.59780396096093
Bangladesh,40,1.8045661104696409
Palau,40,0.0385173575478416
Nauru,40,0.0
Tuvalu,40,0.0
Cook Is,40,0.0
Tonga,40,0.0
Niue,40,0.0
Samoa,40,0.0
Marshall Is,40,0.0
Kiribati,40,0.0
Fed States of Micronesia,40,0.0036539282340945466
Papua New Guinea,40,42.27335932446292
Solomon Is,40,2.5550547957131635
New Zealand,40,10.983776449541738
Fiji,40,1.4697082038774025
Vanuatu,40,1.0478633364965595
Indonesia,40,157.33993899512495
Singapore,40,0.017480340873042607
Brunei,40,0.5347170557795531
Philippines,40,17.776362928820653
Timor-Leste,40,0.6750863749989552
Malaysia,40,29.133126543297422
Thailand,40,19.260541706836626
Burma,40,41.717173351892534
Laos,40,18.82223658151561
Cambodia,40,8.327958501593274
Vietnam,40,15.944062258913334
Oman,40,3.3236721801757813e-07
United Arab Emirates,40,0.0
Qatar,40,0.0
Bahrain,40,0.0
Iran,40,1.6740459448799818
Kuwait,40,0.0
Azerbaijan,40,1.1978371259967615
Armenia,40,0.3284367400221863
Georgia,40,3.0756966479158443
Turkey,40,9.40047426438784
Cyprus,40,0.09195383753885161
Israel,40,0.02356997689614852
Jordan,40,0.002129281066503798
Saudi Arabia,40,6.904660882568359e-06
West Bank,40,0.0003250793625577316
West Bank,40,0.0
Iraq,40,0.014851169591200258
Syria,40,0.09755291790979857
Lebanon,40,0.05834131237416056
Syria,40,3.0893996773777345e-05
Syria,40,0.001556324228510183
Israel,40,9.05479296875e-07
Syria,40,6.0908671680740765e-05
Syria,40,0.0
Yemen,40,6.079396862182616e-05
Australia,40,35.9317798005336
Cuba,40,3.821524754598226
Antigua & Barbuda,40,0.018185087364011157
St Kitts & Nevis,40,0.012711143767990731
Dominica,40,0.06723868274698196
Trinidad & Tobago,40,0.38421727100477865
Grenada,40,0.02727064129858358
Saint Lucia,40,0.04983258802362932
St Vincent & the Grenadines,40,0.026730564970777027
Barbados,40,0.004968961209709318
Dominican Republic,40,2.459856725304085
Haiti,40,0.7749265063681184
Jamaica,40,0.754206373490513
Cuba,40,0.00011773886766261658
Turkmenistan,40,0.008746469228556817
Kyrgyzstan,40,0.5933251484219543
Kazakhstan,40,3.8268276290148364
Tajikistan,40,0.044669807284212944
Uzbekistan,40,0.08796810719798208
Mauritius,40,0.06298320252224303
Seychelles,40,0.004738332104127851
Mexico,40,49.25962782683999
United States,40,107.82294749548915
"Bahamas, The",40,0.2677811865204678
Canada,40,157.46324699246756
Canada,40,0.013630502838495399
United States,40,57.869350988220845
Canada,40,121.7258676320575
Canada,40,14.966203928781264
Canada,40,0.0
Canada,40,0.0
Canada,40,38.176145969634184
Canada,40,56.927541997950286
United States,40,39.92599850713148
United States,40,13.234727974438226
Bolivia,40,62.90135141487963
Chile,40,17.318133717746115
Paraguay,40,22.351558475037706
Argentina,40,35.534607184963825
Uruguay,40,1.5984861169380884
Ecuador,40,18.6786842065356
Venezuela,40,55.48550861055102
Suriname,40,13.857385308897824
Guyana,40,19.037752731246666
Colombia,40,80.63620087735173
Peru,40,77.70868098662038
Brazil,40,503.62875701043157
El Salvador,40,0.9459801560519968
Guatemala,40,7.4422265441785616
Panama,40,5.575151789001509
